                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.0787,                0.69429,                 1.1742,                0.80564,                0.72737,                0.82247,                0.54574,                 1.2097,                0.79021,                 1.2487,               0.001208,               0.001208,               0.001208
                     62,                 1.0746,                0.69204,                 1.1744,                0.79674,                0.73849,                0.81841,                0.54686,                 1.2233,                0.78629,                 1.2501,              0.0011948,              0.0011948,              0.0011948
                     63,                 1.0926,                0.69594,                 1.1715,                0.79663,                0.74717,                0.82829,                0.55087,                 1.2161,                 0.7789,                 1.2463,              0.0011816,              0.0011816,              0.0011816
                     64,                 1.0799,                0.69106,                  1.169,                0.80888,                 0.7349,                0.82366,                0.54727,                 1.2197,                0.77606,                 1.2539,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.0651,                0.68185,                 1.1717,                0.80631,                0.74138,                0.82681,                  0.551,                 1.2238,                0.77776,                 1.2617,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.0701,                0.68927,                 1.1717,                0.79508,                0.73981,                0.82451,                0.54542,                 1.2306,                0.77073,                  1.264,               0.001142,               0.001142,               0.001142
                     67,                  1.069,                0.68022,                 1.1676,                0.79859,                0.74296,                0.82372,                0.54786,                  1.217,                0.77055,                 1.2557,              0.0011288,              0.0011288,              0.0011288
                     68,                  1.076,                0.68425,                 1.1656,                0.80303,                0.73472,                0.82982,                0.55257,                 1.2075,                0.78446,                 1.2416,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.0679,                0.67065,                 1.1598,                0.80521,                0.74062,                0.82759,                0.55524,                 1.2106,                0.77038,                 1.2492,              0.0011024,              0.0011024,              0.0011024
                     70,                  1.069,                0.67883,                 1.1655,                 0.8221,                0.72007,                0.82447,                0.54857,                 1.2089,                0.77271,                 1.2458,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.0508,                0.66327,                 1.1578,                0.80315,                0.73957,                0.82578,                0.55023,                  1.211,                0.77173,                 1.2584,               0.001076,               0.001076,               0.001076
                     72,                 1.0749,                0.68029,                 1.1611,                0.81087,                0.73875,                0.82575,                0.55102,                 1.2096,                0.78229,                 1.2451,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.0689,                0.67929,                 1.1606,                0.79605,                0.74349,                0.82841,                0.55293,                 1.2123,                0.77386,                 1.2518,              0.0010496,              0.0010496,              0.0010496
                     74,                 1.0575,                0.66974,                 1.1553,                0.81028,                0.73402,                0.82868,                0.55128,                 1.2124,                0.77686,                 1.2456,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.0609,                0.67156,                  1.156,                0.81257,                0.75048,                0.83322,                0.55631,                 1.2117,                0.77661,                 1.2518,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.0335,                0.66295,                  1.153,                0.81078,                 0.7361,                0.82527,                0.55564,                 1.2059,                0.76024,                 1.2404,                0.00101,                0.00101,                0.00101
                     77,                 1.0532,                0.66276,                 1.1519,                0.78128,                0.75296,                0.82247,                0.55186,                 1.2051,                 0.7808,                 1.2388,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.0494,                0.65764,                 1.1508,                  0.801,                0.74323,                 0.8324,                0.55674,                 1.2078,                0.76558,                 1.2397,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.0362,                0.65077,                 1.1482,                0.78686,                0.74559,                 0.8256,                0.55582,                 1.2073,                0.75507,                 1.2374,              0.0009704,              0.0009704,              0.0009704
                     80,                  1.046,                0.65474,                 1.1488,                0.81108,                0.74888,                0.83465,                0.55721,                 1.2099,                0.75578,                 1.2428,              0.0009572,              0.0009572,              0.0009572
                     81,                 1.0382,                0.65538,                 1.1541,                0.80174,                0.74579,                0.82838,                0.55802,                 1.2009,                0.75409,                 1.2344,               0.000944,               0.000944,               0.000944
                     82,                 1.0434,                  0.652,                 1.1443,                0.81231,                0.74612,                0.82958,                0.55718,                 1.1984,                0.76253,                 1.2325,              0.0009308,              0.0009308,              0.0009308
                     83,                 1.0347,                0.65155,                 1.1436,                0.80572,                0.74631,                0.83167,                0.55443,                 1.2127,                0.75445,                 1.2383,              0.0009176,              0.0009176,              0.0009176
                     84,                 1.0508,                0.65964,                 1.1491,                0.79313,                0.75007,                0.82654,                0.55486,                 1.1988,                0.75576,                 1.2304,              0.0009044,              0.0009044,              0.0009044
                     85,                 1.0408,                0.64635,                 1.1425,                0.79625,                0.74952,                0.82413,                0.55303,                 1.2123,                0.77352,                 1.2443,              0.0008912,              0.0008912,              0.0008912
                     86,                 1.0239,                0.64001,                 1.1393,                0.81439,                0.74586,                0.83147,                0.55771,                  1.202,                0.75632,                 1.2294,               0.000878,               0.000878,               0.000878
                     87,                 1.0272,                0.64429,                 1.1396,                0.80364,                0.73507,                0.82515,                0.54849,                 1.2156,                0.78149,                 1.2423,              0.0008648,              0.0008648,              0.0008648
                     88,                 1.0279,                0.64321,                 1.1454,                0.80791,                0.73454,                0.82322,                0.55117,                 1.2093,                0.76578,                 1.2441,              0.0008516,              0.0008516,              0.0008516
                     89,                 1.0291,                 0.6375,                 1.1352,                0.79173,                0.74808,                0.82655,                0.55468,                 1.2071,                 0.7715,                 1.2358,              0.0008384,              0.0008384,              0.0008384
                     90,                 1.0361,                  0.647,                 1.1359,                0.80896,                0.73849,                0.82757,                0.55386,                   1.21,                  0.768,                 1.2446,              0.0008252,              0.0008252,              0.0008252
                     91,                 1.0281,                 0.6476,                 1.1332,                0.81579,                0.74296,                0.83155,                0.55443,                 1.2154,                0.75793,                 1.2513,               0.000812,               0.000812,               0.000812
                     92,                 1.0096,                0.62518,                 1.1312,                0.80913,                0.74875,                0.82938,                0.55526,                 1.2021,                0.75233,                 1.2378,              0.0007988,              0.0007988,              0.0007988
                     93,                 1.0203,                0.63368,                 1.1358,                0.81304,                0.73981,                 0.8313,                0.55531,                 1.2129,                0.74833,                 1.2423,              0.0007856,              0.0007856,              0.0007856
                     94,                 1.0134,                0.63615,                 1.1363,                0.81814,                0.72928,                0.82387,                0.55103,                 1.2103,                0.75892,                 1.2391,              0.0007724,              0.0007724,              0.0007724
                     95,                 1.0154,                0.62982,                 1.1295,                0.80351,                0.73911,                0.82997,                0.55798,                 1.2072,                0.75231,                 1.2401,              0.0007592,              0.0007592,              0.0007592
                     96,                  1.008,                0.62412,                 1.1237,                 0.8154,                0.74559,                0.82958,                0.55521,                 1.2173,                0.74962,                 1.2531,               0.000746,               0.000746,               0.000746
                     97,                 1.0076,                0.61802,                 1.1224,                0.80762,                0.73165,                0.82336,                0.55172,                 1.2263,                0.75666,                 1.2527,              0.0007328,              0.0007328,              0.0007328
                     98,                 1.0101,                0.61809,                 1.1172,                0.81359,                0.73402,                0.82428,                0.55318,                 1.2171,                0.76044,                 1.2495,              0.0007196,              0.0007196,              0.0007196
                     99,                 1.0059,                0.62075,                 1.1254,                0.81987,                0.73284,                0.82367,                0.55171,                 1.2152,                0.76412,                 1.2494,              0.0007064,              0.0007064,              0.0007064
                    100,                 1.0046,                0.61502,                 1.1243,                0.82056,                0.73388,                0.82751,                0.55368,                 1.2173,                0.75121,                 1.2469,              0.0006932,              0.0006932,              0.0006932
                    101,                 1.0084,                0.62205,                 1.1242,                0.79522,                0.74987,                0.82669,                0.55519,                 1.2081,                0.75225,                 1.2451,                0.00068,                0.00068,                0.00068
